permit_no,well_id,well_si,well_eup,well_ri,well_bunji,well_bunji_check,tank_count,tank_si,tank_eup,tank_ri,tank_bunji,coord_x,coord_y,install_date,elevation_m,drill_depth_m,casing_diameter_mm,discharge_diameter_mm,capacity_m3d,permit_m3m,natural_water_level_m,stable_water_level_m,voltage_v,motor_hp,pump_depth_m,water_management,watershed,is_active,source_file
D199540109,F-102,서귀포시,성산읍,수산리,3930 - 1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199540110,F-103,서귀포시,성산읍,난산리,3018-4,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199540111,D-316,서귀포시,성산읍,난산리,842 - 1,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199540112,F-104,서귀포시,표선면,표선리,2515 - 3,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199540113,D-313,서귀포시,표선면,표선리,1970 - 1,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199540114,F-098,서귀포시,대정읍,상모리,1502-1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199540115,F-097,서귀포시,대정읍,하모리,374 - 1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199540116,D-315,서귀포시,대정읍,영락리,240-4,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199540117,F-100,서귀포시,남원읍,신흥리,873,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199540118,F-101,서귀포시,남원읍,위미리,4424,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199540119,F-099,서귀포시,안덕면,동광리,1280,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199540120,D-312,서귀포시,안덕면,사계리,1374,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199540121,D-314,서귀포시,표선면,가시리,2832,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199540122,D-310,서귀포시,남원읍,하례리,1069,,,,,,,,,,,,,,950,28500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199620028,F-115,서귀포시,서홍동,,2498 - 8,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199620033,F-113,서귀포시,서호동,,1490 - 4,,,,,,,,,,,,,,500,15000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199620034,F-114,서귀포시,호근동,,739 - 3,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199620035,D-319,서귀포시,동홍동,,1868 - 3,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199620043,F-116,서귀포시,대포동,,1352 - 1,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199620044,F-118,서귀포시,하예동,,1170 - 1,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199620045,D-263-1,서귀포시,토평동,,1927 - 1,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199640096,F-196,서귀포시,대정읍,하모리,2093-5,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199640098,F-182,서귀포시,남원읍,의귀리,57 - 1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199640099,F-185,서귀포시,남원읍,하례리,1887 - 3,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199640100,F-172,서귀포시,성산읍,수산리,933,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199640149,F-186,서귀포시,남원읍,신례리,42 - 1,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199640150,F-184,서귀포시,남원읍,수망리,1089,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199640151,F-199,서귀포시,안덕면,서광리,1957 - 3,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199640152,F-183,서귀포시,남원읍,의귀리,80 - 29,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199640183,D-327,서귀포시,남원읍,수망리,6,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199640225,F-202,서귀포시,안덕면,상창리,2068-9,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199640226,F-203,서귀포시,안덕면,상창리,2872,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199640227,F-190,서귀포시,대정읍,무릉리,3334-1,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199640228,F-189,서귀포시,대정읍,신도리,755,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199720002,D-320,서귀포시,보목동,,1586 - 4,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199720003,F-117,서귀포시,강정동,,2160 - 1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199720017,F-226,서귀포시,호근동,,953 - 1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199720018,F-222,서귀포시,대포동,,1134 - 1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
