permit_no,well_id,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,capacity_m3d,permit_m3m,remark,source
W200230022,F-479,2017,329,482,1236,627,1604,1616,1793,2158,2812,3116,5905,4133,600,10000,,사후관리DB(원본월별·5년이용량분석)
W200230029,F-487,2017,,,,,,2564,1617,12,14,14,12,14,800,16800,,사후관리DB(원본월별·5년이용량분석)
W200230030,R-020,2017,1000,1376,3455,1090,3023,4708,1880,6005,3873,6516,10216,5283,800,12000,,사후관리DB(원본월별·5년이용량분석)
W200230042,R-021,2017,2133,1402,1705,504,928,1085,585,1468,2693,2198,3798,2410,450,12000,,사후관리DB(원본월별·5년이용량분석)
W200230044,F-480,2017,608,622,1111,1249,2544,4250,2387,3561,64,48,85,241,800,12000,,사후관리DB(원본월별·5년이용량분석)
W200240015,F-492,2017,7029.3,5815.71,5349.86,9862.97,3367.77,8272.55,3881.1,7450.64,11035.02,21218.45,15117.88,15444.28,900,27000,,
W200240034,F-493,2017,1114.86,689.96,612.0,4319.09,179.31,3212.03,0.0,3.9,1952.95,9562.04,5726.31,7983.31,800,24000,,
W200240035,R-022,2017,2311.3,2295.87,2133.16,2336.38,1984.61,1782.03,1501.64,5744.81,5020.68,2025.77,2234.77,1353.73,600,18000,,
W200240046,R-023,2017,4347.73,5025.53,5294.8,9672.7,9723.77,36339.37,31174.56,36409.01,9222.38,8166.2,7400.19,8911.33,800,24000,,
W200240051,F-491,2017,293.86,414.34,3808.43,367.32,1707.33,1769.04,0.0,863.95,4692.94,8286.85,10182.25,5565.71,700,21000,,
W200240052,F-490,2017,1744.36,2547.07,2682.57,7310.18,7564.03,9498.78,9464.47,7445.68,4617.32,4653.34,2766.62,6042.65,900,27000,,
W200310004,F-494,2017,1026,1364,1192,1661,2794,7806,4481,7598,3442,3349,3722,2159,700,21000,,사후관리DB(원본월별·5년이용량분석)
W200310006,F-495,2017,11419,13270,9799,10743,5243,7404,7259,9261,7299,8485,8516,7793,800,24000,,사후관리DB(원본월별·5년이용량분석)
W200320014,F-496,2017,1118.5,1197.5,2667.36,2522.87,3319.12,4845.11,3715.17,4030.14,3846.15,2620.58,2492.72,1676.71,500,15000,,
W200320016,F-499,2017,2932.3,2834.38,3966.52,7109.42,6187.88,9298.58,11308.0,10688.28,10413.29,9660.76,7609.76,7373.68,700,21000,,
W200320017,F-497,2017,891.36,2518.18,7303.73,11336.87,10606.5,10738.68,8478.08,13558.49,11130.13,7908.7,6275.1,3214.66,550,16500,,
W200320018,F-498,2017,3582.09,3590.99,4840.12,15470.57,12637.77,19983.07,13693.88,22195.28,15977.35,11392.6,8996.29,5419.15,800,24000,,
W200320019,F-403-1,2017,6885.73,6197.45,6410.6,9952.63,9792.78,5445.53,5204.26,12286.86,15294.55,15398.16,15364.12,13528.72,500,15000,,
W200320020,F-500,2017,2973.22,1304.92,1661.84,3154.09,2614.68,2212.55,1232.24,1608.54,1865.33,773.59,1348.53,1820.11,600,18000,,
W200330052,F-503,2017,8110,7581,7696,8586,7223,8691,12882,10006,10591,15928,9733,13575,800,24000,,사후관리DB(원본월별·5년이용량분석)
