permit_no,well_id,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,capacity_m3d,permit_m3m,remark
D199740095,F-293,2017,1386.51,783.47,595.63,3722.08,743.92,3257.44,857.61,4090.33,1895.64,9164.32,7362.6,6912.79,700,21000,
D199740096,F-288,2017,1059.99,587.4,408.51,2138.67,253.65,1385.73,830.37,392.49,2392.32,6813.84,6837.87,6920.64,800,24000,
D199740103,F-269,2017,4180.38,5294.51,4397.2,9592.09,10098.25,11848.92,10782.4,10028.66,7233.44,5244.7,4582.52,7708.1,800,24000,
D199740122,F-272,2017,5394.48,5438.16,6553.68,6805.68,7524.72,8428.56,7002.24,6546.96,6444.48,4885.44,4045.44,3353.28,750,22500,
D199740125,F-291,2017,4145.42,3441.65,3174.4,6025.12,2622.07,9389.56,4492.85,4323.59,3667.33,13297.42,10639.72,17027.11,800,24000,
D199740127,F-294,2017,2559.13,1499.93,1534.39,2956.33,1750.22,2914.62,1211.55,3273.73,3329.95,10002.56,7122.4,7330.98,600,18000,
D199740128,F-295,2017,1164.9,813.44,968.17,2513.26,3185.23,6485.41,4920.42,5678.6,11976.13,3437.22,3419.54,4299.29,700,21000,
D199740129,F-273,2017,1211.17,1156.71,1044.04,1017.76,967.06,1030.9,893.82,1423.36,1327.59,1068.46,974.57,7276.39,900,27000,
D199740130,F-275,2017,6147.36,6445.44,6325.92,8140.32,6698.88,7087.68,7087.68,5764.32,5572.8,4929.12,5817.6,5476.32,600,18000,
D199740131,F-274,2017,28443.08,28818.49,27138.91,30342.05,28543.03,30751.59,22163.57,26361.29,17229.66,6530.6,10309.03,8702.59,600,18000,
D199740143,F-348,2017,10259.81,9927.5,8769.64,14015.54,12707.2,19464.17,16619.68,17223.69,13428.25,12404.15,10370.58,11958.98,1000,30000,
D199740144,F-284,2017,2761.7,4313.89,4893.24,7689.79,4930.99,7962.77,7470.54,7814.66,5071.84,3201.66,3631.45,4650.76,600,18000,
D199740145,F-283,2017,2043.13,2483.13,4130.14,4744.27,5022.1,6592.0,5418.23,6921.67,5446.14,5174.96,2144.16,3850.98,700,21000,
D199740146,F-282,2017,2517.85,3748.1,5958.85,10385.9,9729.15,13701.1,12415.35,11553.25,9921.55,7585.0,7178.0,9137.15,700,21000,
D199740147,F-285,2017,5942.31,8103.73,8826.3,13233.15,13130.23,17734.52,15474.38,15991.11,11657.77,8822.1,8981.74,6868.63,700,21000,
D199740148,F-286,2017,11095.52,10351.52,9235.52,15118.08,14770.88,14587.36,11417.92,11913.92,10872.32,10649.12,11794.88,7435.04,700,21000,
D199740161,F-297,2017,5708.71,5691.58,7825.1,9542.19,10301.24,13259.7,9415.68,9117.86,7701.22,8288.96,6053.97,4621.52,700,21000,
D199740162,F-339,2017,8148.66,8139.22,7574.48,14419.03,12666.6,15241.77,14304.2,17864.12,15457.28,12490.41,10154.36,11002.26,800,24000,
D199740163,F-271,2017,22513.09,21721.73,19626.66,24421.73,24031.12,24615.76,23724.22,24109.75,24651.27,23227.08,24448.36,22483.92,1000,30000,
D199740190,F-292,2017,2033.1,2024.09,1831.89,2426.5,2501.58,5450.63,2537.62,6958.18,7934.19,8219.48,8285.55,9847.16,800,24000,
D199740205,F-198,2017,939.51,1681.68,3256.11,1780.35,1926.21,2453.88,2522.52,3346.2,8279.7,7271.55,11613.03,3891.03,800,24000,
D199740206,F-197,2017,603.0,1311.0,4578.0,891.0,3012.0,1029.0,0.0,1014.0,9558.0,11184.0,14457.0,6570.0,800,24000,
D199740207,F-195,2017,6228.08,3402.55,2378.81,4716.66,3953.51,9448.21,5368.13,4325.78,6775.31,13316.1,9310.47,15996.44,700,21000,
D199740208,F-192,2017,4619.65,2530.08,2941.22,6763.45,4789.08,9090.22,6004.42,5238.62,4235.62,11064.58,3417.87,5505.18,700,21000,
